,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
sample1188,8400,28,320,13344,175,8192,6,9,5,6,46552,262144,samples/cleanfiles/DevicePairingProxy.dll,1
sample1189,4672,28,33088,0,0,4096,6,9,4,6,1288,262144,samples/cleanfiles/ksetup.exe,1
sample1190,5888,28,320,1424816,165,4096,6,9,7,6,83008,262144,samples/cleanfiles/WMPEncEn.dll,1
sample1191,4656,28,320,65008,147,4096,6,9,4,6,1048,262144,samples/cleanfiles/cmifw.dll,1
sample1192,8336,28,0,9168,259,8192,0,5,5,4,1328,1048576,samples/cleanfiles/sqlwid.dll,1
sample1193,4832,28,33088,0,0,4096,6,9,4,6,28560,262144,samples/cleanfiles/TpmInit.exe,1
sample1194,260856,56,320,293740,187,262144,0,8,5,4,1752,1048576,samples/cleanfiles/msjetoledb40.dll,1
sample1195,34496,56,320,32968,610,4096,6,9,4,6,1048,262144,samples/cleanfiles/mspatcha.dll,1
sample1196,1582912,56,320,515980,191,4096,6,9,5,6,320872,262144,samples/cleanfiles/MSVidCtl.dll,1
sample1197,4256,28,33088,0,0,4096,6,9,4,6,75552,262144,samples/cleanfiles/SystemPropertiesAdvanced.exe,1
sample1198,4336,28,320,11040,107,4096,6,9,4,6,28296,262144,samples/cleanfiles/deskperf.dll,1
sample1199,4272,28,320,10480,197,4096,6,9,4,6,1728,262144,samples/cleanfiles/TsUsbRedirectionGroupPolicyExtension.dll,1
sample12,4528,28,320,3093696,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData0039.dll,1
sample120,0,0,1344,0,0,0,6,9,1,6,1328,262144,samples/cleanfiles/lltdres.dll,1
sample1200,213900,56,320,31824,162,4096,6,9,4,6,2744408,262144,samples/cleanfiles/UIHub.dll,1
sample1201,4528,28,320,35024,125,4096,6,9,4,6,2408,262144,samples/cleanfiles/Wwanpref.dll,1
sample1202,4960,28,33088,0,0,4096,6,9,4,6,2160,262144,samples/cleanfiles/schtasks.exe,1
sample1203,4128,28,320,138944,111,143360,6,11,5,6,54800,262144,samples/cleanfiles/webcheck.dll,1
sample1204,1359936,56,320,49852,229,4096,6,9,5,6,618040,262144,samples/cleanfiles/mmcndmgr.dll,1
sample1205,4272,28,320,13984,160,4096,6,9,4,6,19840,262144,samples/cleanfiles/whealogr.dll,1
sample1206,69148,56,320,24696,109,4096,6,9,4,6,1360,262144,samples/cleanfiles/TabSvc.dll,1
sample1207,4528,28,320,3093680,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData004c.dll,1
sample1208,5024,28,320,233792,3703,4096,6,9,5,6,33896,262144,samples/cleanfiles/odbcjt32.dll,1
sample1209,7520,28,1344,7440,80,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDGKL.DLL,1
sample121,5696,28,320,300368,2370,4096,6,9,4,6,764456,262144,samples/cleanfiles/cmncliM.dll,1
sample1210,7856,28,1344,7776,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDHU.DLL,1
sample1211,4608,28,320,175328,193,4096,6,9,4,6,3144,262144,samples/cleanfiles/fthsvc.dll,1
sample1212,4736,28,320,63984,166,4096,6,9,4,6,1736,262144,samples/cleanfiles/winsockhc.dll,1
sample1213,4496,28,320,165488,65,4096,6,9,4,6,1072,262144,samples/cleanfiles/WinSyncMetastore.dll,1
sample1214,5968,28,320,162960,626,4096,6,9,4,6,213120,262144,samples/cleanfiles/dmdlgs.dll,1
sample1215,4576,28,320,23680,2293,4096,6,9,4,6,1008,262144,samples/cleanfiles/iscsium.dll,1
sample1217,250400,56,320,8580,5189,4096,6,9,4,6,92432,262144,samples/cleanfiles/mfplat.dll,1
sample1218,4896,28,33088,0,0,4096,6,9,4,6,2400,262144,samples/cleanfiles/spreview.exe,1
sample1219,169096,56,320,163096,317,4096,6,9,4,6,1008,262144,samples/cleanfiles/rasppp.dll,1
sample122,4784,28,320,167104,78,4096,6,9,4,6,159808,262144,samples/cleanfiles/dot3ui.dll,1
sample1220,197888,56,320,4788,221,4096,6,9,7,6,1840,262144,samples/cleanfiles/MMDevAPI.dll,1
sample1221,4656,28,33088,0,0,4096,6,9,4,6,2152,262144,samples/cleanfiles/wuauclt.exe,1
sample1222,4624,28,320,89296,104,4096,6,9,4,6,1096,262144,samples/cleanfiles/PeerDistWSDDiscoProv.dll,1
